[0/10000] loss=7.22182144295285 loss_test=6.413018282542153 acc=0.0881
[1/10000] loss=0.4894350703578419 loss_test=0.4219949777150652 acc=0.8491
[2/10000] loss=0.39378687808004903 loss_test=0.4064713241152369 acc=0.8494
[3/10000] loss=0.30657663790790685 loss_test=0.365675099824298 acc=0.8665
[4/10000] loss=0.30540928574343074 loss_test=0.3655883003175259 acc=0.8665
[5/10000] loss=0.30531890778608867 loss_test=0.3655029555598266 acc=0.8666
[6/10000] loss=0.30523005640650763 loss_test=0.3654190910193948 acc=0.8666
[7/10000] loss=0.3051426380404248 loss_test=0.36533658489992804 acc=0.8668
[8/10000] loss=0.3050566590860661 loss_test=0.365255457725843 acc=0.8665
[9/10000] loss=0.30497199429161026 loss_test=0.3651757300247801 acc=0.8662
[10/10000] loss=0.3048886570332595 loss_test=0.3650973084380756 acc=0.8664
[11/10000] loss=0.30480661908944484 loss_test=0.3650201383463198 acc=0.8665
[12/10000] loss=0.3047258635937558 loss_test=0.36494427572329985 acc=0.8667
[13/10000] loss=0.30464639094995016 loss_test=0.3648698021987405 acc=0.8668
[14/10000] loss=0.3045681032321766 loss_test=0.3647965575523283 acc=0.867
[15/10000] loss=0.3044910165397538 loss_test=0.36472453518784526 acc=0.8672
[16/10000] loss=0.30441508411600127 loss_test=0.3646536213642288 acc=0.8671
[17/10000] loss=0.30434023424672146 loss_test=0.36458375745696586 acc=0.8671
[18/10000] loss=0.3042664579106069 loss_test=0.36451501505708095 acc=0.8669
[19/10000] loss=0.3041937538866569 loss_test=0.364447312048373 acc=0.8669
[20/10000] loss=0.3041220994832053 loss_test=0.36438064477256876 acc=0.8669
[21/10000] loss=0.30405144986638444 loss_test=0.36431497918858496 acc=0.867
[22/10000] loss=0.30398178778451473 loss_test=0.3642503762462541 acc=0.867
[23/10000] loss=0.3039130490372068 loss_test=0.36418675078148127 acc=0.867
[24/10000] loss=0.30384527323511357 loss_test=0.3641241240030646 acc=0.8672
[25/10000] loss=0.3037784443570086 loss_test=0.36406246482303134 acc=0.8671
[26/10000] loss=0.3037125476155339 loss_test=0.3640017054563197 acc=0.8672
[27/10000] loss=0.30364754296150537 loss_test=0.3639417576872074 acc=0.8672
[28/10000] loss=0.30358333996153813 loss_test=0.3638827551635391 acc=0.8672
[29/10000] loss=0.30352002586014415 loss_test=0.36382462479893846 acc=0.8673
[30/10000] loss=0.30345757756840236 loss_test=0.36376731625432185 acc=0.8673
[31/10000] loss=0.3033959757109747 loss_test=0.36371086866584057 acc=0.8674
[32/10000] loss=0.30333516589346293 loss_test=0.3636551977455848 acc=0.8674
[33/10000] loss=0.3032751378051274 loss_test=0.36360027564766956 acc=0.8674
[34/10000] loss=0.3032158623595594 loss_test=0.36354612557937155 acc=0.8676
[35/10000] loss=0.3031573654203449 loss_test=0.3634927323185686 acc=0.8678
[36/10000] loss=0.30309961217334735 loss_test=0.36344002220032745 acc=0.8678
[37/10000] loss=0.3030425303688966 loss_test=0.3633879840738667 acc=0.8679
[38/10000] loss=0.3029860979468524 loss_test=0.36333663551220907 acc=0.8679
[39/10000] loss=0.30293038779613884 loss_test=0.3632859887258497 acc=0.868
[40/10000] loss=0.30287531683157104 loss_test=0.3632360013358597 acc=0.8682
[41/10000] loss=0.30282088141964925 loss_test=0.3631865919808515 acc=0.868
[42/10000] loss=0.30276707948907405 loss_test=0.36313782578182735 acc=0.8681
